fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:22:32,binancecoin,bnb,BNB,650.57,88727756998,1824118512,667.0,631.28,0.3361247250094667,-0.4229332972293151,2026-02-07T19:22:27.283Z
2026-02-08T01:22:32,solana,sol,Solana,88.32,50124918448,6535059563,89.4,84.66,0.4445636319390742,2.6619382146705988,2026-02-07T19:22:31.828Z
2026-02-08T01:23:32,bitcoin,btc,Bitcoin,69321,1385667032280,79240961689,71604,67656,0.10258429429529146,-1.3823969850476425,2026-02-07T19:22:27.702Z
2026-02-08T01:23:32,ethereum,eth,Ethereum,2089.92,252271210747,46167977059,2113.07,2001.54,0.549021600315007,1.9001026361910267,2026-02-07T19:22:27.365Z
2026-02-08T01:23:32,binancecoin,bnb,BNB,650.57,88727756998,1824118512,667.0,631.28,0.3361247250094667,-0.4229332972293151,2026-02-07T19:22:27.283Z
2026-02-08T01:23:32,solana,sol,Solana,88.32,50124918448,6535059563,89.4,84.66,0.4445636319390742,2.6619382146705988,2026-02-07T19:22:31.828Z
2026-02-08T01:24:32,bitcoin,btc,Bitcoin,69424,1385671425859,79279955617,71604,67656,0.25134553918015085,-1.2358425529569095,2026-02-07T19:24:24.866Z
2026-02-08T01:24:32,ethereum,eth,Ethereum,2092.68,252281678340,46169766153,2113.07,2001.54,0.6819744418242025,2.034841970099352,2026-02-07T19:24:24.823Z
2026-02-08T01:24:32,binancecoin,bnb,BNB,651.12,88736878046,1824801588,667.0,631.28,0.42169278655175096,-0.33801257106837135,2026-02-07T19:24:24.795Z
2026-02-08T01:24:32,solana,sol,Solana,88.34,50098788607,6565613863,89.4,84.66,0.4737802589821131,2.691799816452497,2026-02-07T19:24:32.829Z
2026-02-08T01:25:32,bitcoin,btc,Bitcoin,69424,1385671425859,79279955617,71604,67656,0.25134553918015085,-1.2358425529569095,2026-02-07T19:24:24.866Z
2026-02-08T01:25:32,ethereum,eth,Ethereum,2092.68,252281678340,46169766153,2113.07,2001.54,0.6819744418242025,2.034841970099352,2026-02-07T19:24:24.823Z
2026-02-08T01:25:32,binancecoin,bnb,BNB,651.12,88736878046,1824801588,667.0,631.28,0.42169278655175096,-0.33801257106837135,2026-02-07T19:24:24.795Z
2026-02-08T01:25:32,solana,sol,Solana,88.34,50098788607,6565613863,89.4,84.66,0.4737802589821131,2.691799816452497,2026-02-07T19:24:32.829Z
2026-02-08T01:26:32,bitcoin,btc,Bitcoin,69448,1385671425859,78879707475,71604,67656,0.26534044883439306,-1.2017465132822436,2026-02-07T19:26:29.816Z
2026-02-08T01:26:32,ethereum,eth,Ethereum,2093.69,252281678340,45753096484,2113.07,2001.54,0.41443058571539765,2.084269314891822,2026-02-07T19:26:30.396Z
2026-02-08T01:26:32,binancecoin,bnb,BNB,651.78,88736878046,1804150942,667.0,631.28,0.12111500511966954,-0.6277019958302391,2026-02-07T19:26:29.449Z
2026-02-08T01:26:32,solana,sol,Solana,88.46,50098788607,6679770210,89.4,84.66,0.46368939556657807,2.8246134773446183,2026-02-07T19:26:30.286Z
2026-02-08T01:27:32,bitcoin,btc,Bitcoin,69448,1385671425859,78879707475,71604,67656,0.26534044883439306,-1.2017465132822436,2026-02-07T19:26:29.816Z
2026-02-08T01:27:32,ethereum,eth,Ethereum,2093.69,252281678340,45753096484,2113.07,2001.54,0.41443058571539765,2.084269314891822,2026-02-07T19:26:30.396Z
2026-02-08T01:27:32,binancecoin,bnb,BNB,651.78,88736878046,1804150942,667.0,631.28,0.12111500511966954,-0.6277019958302391,2026-02-07T19:26:29.449Z
2026-02-08T01:27:32,solana,sol,Solana,88.46,50098788607,6679770210,89.4,84.66,0.46368939556657807,2.8246134773446183,2026-02-07T19:26:30.286Z
2026-02-08T01:28:32,bitcoin,btc,Bitcoin,69426,1387689941212,78663578801,71604,67656,0.23250234796912214,-1.2341041255816307,2026-02-07T19:28:28.220Z
2026-02-08T01:28:32,ethereum,eth,Ethereum,2092.53,252628758138,45513546036,2113.07,2001.54,0.35852638612388854,2.0274354581080445,2026-02-07T19:28:28.203Z
